model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5119910764082544,0.5301895719547506,0.5204779348352813,0.5089348347463207,0.42989489418536725
Random Forest,0.513441160066927,0.5219190986186479,0.5135300624949841,0.5121335796467695,0.4998659414150939
XGBoost,0.5137757947573899,0.5241589790773937,0.5137745149514583,0.51257451295012,0.5023226404191202
Neural Network (MLP),0.5104294478527608,0.5163832180754881,0.5121299843446936,0.5080761620575972,0.4644052248067888
