model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.4986056887897379,0.4981442183391479,0.48204823239135697,0.485777021007854,0.463114289977644
Random Forest,0.5022308979364194,0.4970773974062428,0.4965074167975818,0.4966369710398212,0.4939398982426278
XGBoost,0.501952035694367,0.5046468647976863,0.4999297987553898,0.4999299498977955,0.4998947409189836
Neural Network (MLP),0.5041829336307864,0.5053704558311484,0.49420197005165595,0.49483517008133615,0.48454168659488306
