model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5117122141662019,0.5292297794050417,0.5028101484371202,0.5008321306146639,0.39934865759276894
Random Forest,0.5105967651979922,0.5149894788217368,0.5049654459120652,0.5034646624044501,0.46631053618261464
XGBoost,0.5075292805354155,0.5151711803212685,0.49995175038867745,0.49996813414815494,0.45719440209302664
Neural Network (MLP),0.5168711656441718,0.5083407213604003,0.5163370379222434,0.5071488451216104,0.4312300087234661
