model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.509760178471835,0.5035091418886728,0.4873762536630547,0.4912967345376727,0.4565595035805316
Random Forest,0.5083658672615727,0.503964947632325,0.5007920794682484,0.5007529073627155,0.49725935120311576
XGBoost,0.5100390407138874,0.5171291111163179,0.5047897091722595,0.5046820840850692,0.5035172442323869
Neural Network (MLP),0.5250976017847183,0.5196497887329443,0.5175035887253653,0.5163040371142716,0.5113728022326425
