model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5184049079754601,0.5264045721015336,0.5153291128338897,0.507104478751331,0.4362100526112731
Random Forest,0.5160655636115759,0.5209305502245942,0.5128132058029818,0.5118738465159384,0.5046782576983448
XGBoost,0.5135403110863234,0.5228738285843044,0.5085904922339255,0.5070955129343874,0.48772518845117574
Neural Network (MLP),0.514609283014191,0.5205484954311715,0.5100214790098225,0.5084052631132856,0.49068758391462675
