model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5108756274400447,0.5197394984372897,0.504692035916016,0.5041572580042171,0.49263160204294654
Random Forest,0.5008365867261573,0.48735002218201207,0.48967008981847876,0.4918020018642859,0.46822809193584675
XGBoost,0.4986056887897379,0.48820240961453143,0.49088746795168814,0.4919122888347216,0.4801314582154128
Neural Network (MLP),0.4952593418851088,0.48498352549435975,0.49185649028143974,0.4920555995872651,0.4901206586499894
