model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5270496374790853,0.5281561174859857,0.518706388611848,0.5143790268872269,0.49048313373416996
Random Forest,0.5114333519241495,0.5121399957967048,0.508812945719666,0.5087433256051109,0.5084507727915076
XGBoost,0.5127347090537274,0.5151888405281956,0.5137063698520911,0.513726351611753,0.5127021031079917
Neural Network (MLP),0.530767800706451,0.5263109373847629,0.5250899300300498,0.5228350395126395,0.5153631974915364
