model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5148912437255996,0.516686899493681,0.5097845271604695,0.5086206295100267,0.49644178343999723
Random Forest,0.5126603457891802,0.5157023183032332,0.507055806414701,0.5061519505242595,0.49280004367545704
XGBoost,0.5126603457891802,0.5139401437228401,0.5083271672527222,0.5077148865765658,0.5006916402655777
Neural Network (MLP),0.5109871723368656,0.5136232707411394,0.5081675778404076,0.5079466172307938,0.5058167489698522
