model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5136642498605689,0.5292294970085534,0.5063329233506921,0.503616636528029,0.44881803157556305
Random Forest,0.5248187395426659,0.5374541070743603,0.5249165155222294,0.515295358649789,0.46820885712853477
XGBoost,0.5225878416062465,0.5290127977124525,0.5203404853597409,0.5140898131404461,0.47781863512273987
Neural Network (MLP),0.517010596765198,0.5392512167540935,0.5133009003816804,0.5117266699545181,0.49932350513336426
