model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5274679308421639,0.5281415976091847,0.5222935765215178,0.519209115704511,0.5058226273871225
Random Forest,0.5203569436698271,0.5253604942763876,0.5153411715165457,0.5141592544558,0.5073352329289005
XGBoost,0.5164528722810932,0.5213054425646022,0.5131565137490742,0.51282437472315,0.5111065369444894
Neural Network (MLP),0.5177077523703291,0.5177967471851389,0.5118221283695383,0.510631430371319,0.501140564216272
