model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5075292805354155,0.5319861656695511,0.5145314591322125,0.5064030959818887,0.42671281143456385
Random Forest,0.5104294478527608,0.5190799867652927,0.5108763980198539,0.5100027253782283,0.5001765630895506
XGBoost,0.5023982152816509,0.5137137389322569,0.5021561419280098,0.5020204678094807,0.49424890663346527
Neural Network (MLP),0.5126603457891802,0.5140091209590146,0.5128987110119185,0.5127953422111518,0.511745792833646
