model,accuracy,roc_auc,precision_macro,recall_macro,f1_macro
Logistic Regression,0.5264919129949804,0.5204762944429331,0.5246511198416899,0.5196569920330897,0.4973821315340538
Random Forest,0.5139431121026213,0.5144148887936695,0.5113832438475759,0.5109483818466061,0.5075369235151116
XGBoost,0.510457334076966,0.5107945388660764,0.5085840199029175,0.5084392974049845,0.5071558803096665
Neural Network (MLP),0.5054378137200223,0.5118121286490033,0.5022212803211827,0.5021170631051997,0.49764975942500944
