ticker,anomaly,mean_excess_return_anomaly_days
HALLIBURTON,sell_in_may,-0.0003358687137407857
LULULEMON ATHLETICA,sell_in_may,5.64153894298252e-05
MGM RESORTS INTL.,sell_in_may,-0.00019262701834790415
MICRON TECHNOLOGY,sell_in_may,0.00046123800774713664
MONOLITHIC PWR.SYS.,sell_in_may,0.000738912024061607
NETFLIX,sell_in_may,0.0009136370715739387
NVIDIA,sell_in_may,0.0015597721468547411
NXP SEMICONDUCTORS,sell_in_may,-2.8390311678864075e-05
OCCIDENTAL PTL.,sell_in_may,-0.0007147776911661854
ON SEMICONDUCTOR,sell_in_may,0.00016325363513146175
PARAMOUNT SKYDANCE B,sell_in_may,-0.0005549448772558223
PG&E,sell_in_may,-0.0006806517970836869
ROYAL CARIBBEAN GROUP,sell_in_may,0.0006599176207409681
SEAGATE TECHNOLOGY HOLDINGS,sell_in_may,0.0003512852657600441
SKYWORKS SOLUTIONS,sell_in_may,1.5224476443287003e-05
SUPER MICRO COMPUTER,sell_in_may,0.00022096302080780453
TESLA,sell_in_may,0.0018779941610675716
TEXAS PACIFIC LAND TRUST,sell_in_may,0.0007305650151468618
UNITED AIRLINES HOLDINGS,sell_in_may,0.0005115448842031164
UNITED RENTALS,sell_in_may,0.000762125469805371
VERTEX PHARMS.,sell_in_may,0.000183235496351027
WARNER BROS DISCOVERY SERIES A,sell_in_may,-0.00019232594388371728
WESTERN DIGITAL,sell_in_may,-0.00014378919557937378
WYNN RESORTS,sell_in_may,-0.0005854814098555778
ADVANCED MICRO DEVICES,is_christmas,0.0032576597284383335
ALBEMARLE,is_christmas,0.0010924536803970542
ALIGN TECHNOLOGY,is_christmas,0.0012709320433981763
APA,is_christmas,0.0006890368651970458
AXON ENTERPRISE,is_christmas,-0.010824949574694886
BUILDERS FIRSTSOURCE,is_christmas,-0.0030486227907224883
CARNIVAL,is_christmas,-0.0022398606413219337
DECKERS OUTDOOR,is_christmas,0.006312051819590625
DEVON ENERGY,is_christmas,0.0015849499438397973
DEXCOM,is_christmas,0.008007252128487763
EQT,is_christmas,-0.008427963387968751
EXPEDIA GROUP,is_christmas,-0.004330941886390593
FIRST SOLAR,is_christmas,0.0013451505386748775
FORTINET,is_christmas,-0.002214243883681577
FREEPORT-MCMORAN,is_christmas,0.0006637439179823734
GENERAC HOLDINGS,is_christmas,0.0009817141157161702
HALLIBURTON,is_christmas,-0.0026071678757727977
LULULEMON ATHLETICA,is_christmas,0.0016930140692818063
MGM RESORTS INTL.,is_christmas,0.0047159059104107896
MICRON TECHNOLOGY,is_christmas,-0.006710306201592775
MONOLITHIC PWR.SYS.,is_christmas,0.0046963893705806005
NETFLIX,is_christmas,0.000762423385931521
NVIDIA,is_christmas,-0.0016837763731659017
NXP SEMICONDUCTORS,is_christmas,-0.0001566052525799888
OCCIDENTAL PTL.,is_christmas,-0.0017433657592897834
ON SEMICONDUCTOR,is_christmas,0.0017287568055887603
PARAMOUNT SKYDANCE B,is_christmas,0.0014367980252743885
PG&E,is_christmas,-0.008140973648260264
ROYAL CARIBBEAN GROUP,is_christmas,0.0008545433340626851
SEAGATE TECHNOLOGY HOLDINGS,is_christmas,-0.0005208402924727573
SKYWORKS SOLUTIONS,is_christmas,-0.0020840108091983557
SUPER MICRO COMPUTER,is_christmas,-0.0100257207491657
TESLA,is_christmas,0.0051955650830526005
TEXAS PACIFIC LAND TRUST,is_christmas,0.003162487248641599
UNITED AIRLINES HOLDINGS,is_christmas,-0.0007035525870756731
UNITED RENTALS,is_christmas,-0.0006056362917635782
VERTEX PHARMS.,is_christmas,0.001249245062773363
WARNER BROS DISCOVERY SERIES A,is_christmas,0.0019408996218453045
WESTERN DIGITAL,is_christmas,-0.0010578327283046751
WYNN RESORTS,is_christmas,0.0034263923135164466
ADVANCED MICRO DEVICES,is_thanksgiving,0.0016891876367508107
ALBEMARLE,is_thanksgiving,-0.0007165475847111653
ALIGN TECHNOLOGY,is_thanksgiving,0.00011730160652039986
APA,is_thanksgiving,-0.02128219608244466
AXON ENTERPRISE,is_thanksgiving,-0.004880491795308095
BUILDERS FIRSTSOURCE,is_thanksgiving,-0.004699425063676532
CARNIVAL,is_thanksgiving,0.0013629216171059686
DECKERS OUTDOOR,is_thanksgiving,-0.004076565634100652
DEVON ENERGY,is_thanksgiving,-0.017573837224335292
DEXCOM,is_thanksgiving,0.00397052309325494
EQT,is_thanksgiving,-0.005773246926323802
EXPEDIA GROUP,is_thanksgiving,-0.0005335410927454968
