anomaly,n_anomaly,n_non_anomaly,mean_excess_anomaly,mean_excess_non_anomaly,diff,t_stat,p_value
pre_holiday,240,165360,0.0015261194332939255,0.0006261900944542225,0.000899929338839703,0.7901290054535549,0.4302298470914856
turn_of_month,16320,149280,0.002788469986145853,0.0003912461984796387,0.0023972237876662143,6.155756531009794,7.637100005107061e-10
sell_in_may,84120,81480,0.0002577755284875354,0.0010091922585489606,-0.0007514167300614251,-5.3787486842341306,7.511582885508353e-08
is_christmas,400,165200,-0.00027647514301851,0.0006296831279669987,-0.0009061582709855087,-1.1709757511065744,0.2422960844197871
is_thanksgiving,600,165000,-0.002635588557001779,0.0006393600958614657,-0.0032749486528632446,-4.040673994398922,6.013335816202735e-05
is_new_year,440,165160,0.07966752579437865,0.0004169251110039608,0.0792506006833747,6.836575919212742,2.7261215606607663e-11
is_first_day_quarter,1840,163760,0.01928901314845221,0.0004178143532595794,0.01887119879519263,6.470108309293351,1.2519608063932948e-10
